9base 6-5
aalib 1.4rc5-12
acl 2.2.52-4
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-tools 1.1.5-1
alsa-utils 1.1.5-2
archlinux-keyring 20180322-1
argon2 20171227-3
arp-scan 1.9-3
aspcud 1.9.4-3
aspell 0.60.6.1-5
assimp 4.1.0-1
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-4
babl 0.1.44-2
bash 4.4.019-1
bc 1.07.1-1
beignet 1.3.2-2
bind-tools 9.12.1-1
binutils 2.29.1-3
bison 3.0.4-3
blackarch-keyring 20140118-3
blueman 2.0.5-1
bluez 5.49-1
bluez-firmware 1.2-8
bluez-libs 5.49-1
bluez-qt 5.44.0-2
bluez-utils 5.49-1
boost 1.66.0-2
boost-libs 1.66.0-2
brasero 3.12.2-2
breeze-hacked-cursor-theme 1.0-3
bridge-utils 1.6-2
brotli 1.0.2-1
btrfs-progs 4.15.1-1
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36-1
ca-certificates-utils 20170307-1
cairo 1.15.10+54+g1ed124ace-1
cairomm 1.12.2-2
cantarell-fonts 1:0.101-1
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a09-1
celt 0.11.3-3
cgmanager 0.41-2
chromaprint 1.4.3-1
cifs-utils 6.7-2
clang 6.0.0-1
clinfo 2.2.17.10.25-1
clingo 5.2.2-5
cloc 1.74-1
clucene 2.3.3.4-9
cmake 3.10.3-1
cmatrix 1.2a-12
colord 1.4.2-1
compiler-rt 6.0.0-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cowsay 3.03-9
cppo 1.6.4-1
cracklib 2.9.6-1
cryptsetup 2.0.2-1
cups 2.2.7-1
cups-filters 1.20.1-3
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-5
dhclient 4.4.1-4
dhcpcd 7.0.1-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
discord 0.0.4-1
dmenu 4.8-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
docker 1:18.03.0-1
dosfstools 4.1-1
double-conversion 3.0.0-1
dvd+rw-tools 7.1-7
e2fsprogs 1.44.1-1
eclipse-common 4.7.3-1
eclipse-java 4.7.3-1
efibootmgr 15-1
efivar 34-1
elinks 0.13-19
emacs 25.3-3
enchant 2.2.3-1
exfat-utils 1.2.8-1
expat 2.2.5-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.25.1-1
ffmpeg 1:3.4.2-2
fftw 3.3.7-1
file 5.32-1
filesystem 2018.1-2
findutils 4.6.0-2
firefox-developer-edition 60.0b9-1
fish 2.7.1-1
flac 1.3.2-1
flex 2.6.4-1
flite 2.1-1
fontconfig 2.13.0+10+g58f5285-1
foomatic-db-engine 4:4.0.13-1
fortune-mod 1.99.5-1
freetype2 2.9-2
fribidi 1.0.1+8+gdf7252b-1
fuse-common 3.2.1-1
fuse2 2.9.7-4
gawk 4.2.1-1
gc 7.6.4-1
gcc 7.3.1+20180312-2
gcc-libs 7.3.1+20180312-2
gconf 3.2.6-5
gcr 3.28.0-1
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.11+70+g00e03a272-1
gegl02 0.2.0-8
gendesk 0.7-1
geoclue2 2.4.7-1
geoip 1.6.11-1
geoip-database 20180306-1
gettext 0.19.8.1-2
ghostscript 9.23-1
giflib 5.1.4-1
gimp 2.8.22-1
git 2.16.3-1
gksu 2.0.2-6
glew 2.1.0-1
glib-networking 2.56.0-1
glib2 2.56.0+7+g66948ae23-1
glibc 2.26-11
glibmm 2.56.0-1
glu 9.0.0-4
gmime3 3.2.0-1
gmp 6.1.2-1
gnome-disk-utility 3.28.0-1
